1	600549	厦门钨业	14.80	0.54	3.79	467570	693608368	3.72	15.05	14.52	14.88	14.26	0.14	1.60	3.33	-	2.89	20916933658	20809484147	3.57%	25%	0.00	2002-11-07	2019-05-29 15:00:00	467570	
1	603569	长久物流	11.95	0.43	3.73	13644	15910941	4.77	11.95	11.40	11.52	11.52	2.84	1.86	1.70	30.56	2.79	6692193053	958377461	-3.08%	8.74%	0.42	2016-08-10	2019-05-29 15:00:00	13644	
1	600337	美克家居	5.39	0.19	3.65	532660	286084768	7.12	5.54	5.17	5.19	5.20	-0.19	2.17	3.08	35.69	2.04	9545219411	9315597137	18.2%	36.11%	-0.92	2000-11-27	2019-05-29 15:00:00	532660	
1	600010	包钢股份	1.75	0.06	3.55	7596444	1322991840	4.14	1.77	1.70	1.71	1.69	0.00	1.59	2.40	40.93	1.51	79773807134	55435120384	-2.78%	19.05%	0.57	2001-03-09	2019-05-29 15:00:00	7596444	
1	603233	大参林	57.56	1.95	3.51	13234	75191096	4.95	57.90	55.15	56.20	55.61	0.19	1.03	2.06	31.27	7.14	23024576149	3692541836	32.17%	47.59%	0.02	2017-07-31	2019-05-29 15:00:00	13234	
1	601020	华钰矿业	10.09	0.34	3.49	79990	80782107	7.69	10.45	9.70	9.75	9.75	-0.10	1.97	1.53	71.09	2.64	5306495547	5275667973	-4%	20.12%	0.00	2016-03-16	2019-05-29 15:00:00	79990	
1	600737	中粮糖业	8.37	0.28	3.46	344036	284445072	4.57	8.43	8.06	8.15	8.09	-0.12	1.13	1.68	22.27	2.25	17902159424	17174203224	-1.76%	15.61%	0.00	1996-07-31	2019-05-29 15:00:00	344036	
1	603103	横店影视	24.65	0.77	3.22	53544	129439325	4.86	24.80	23.64	23.88	23.88	0.20	2.21	10.10	17.57	4.75	11166449827	1306449980	2.71%	12.97%	0.12	2017-10-12	2019-05-29 15:00:00	53544	
1	600874	创业环保	8.08	0.24	3.06	101796	81880734	3.95	8.13	7.82	7.89	7.84	0.00	2.56	0.94	30.87	2.00	11532005606	8784805648	-13.77%	-1.22%	-0.12	1995-06-30	2019-05-29 15:00:00	101796	
1	603899	晨光文具	40.60	1.19	3.02	38413	154166876	4.95	40.85	38.90	39.01	39.41	-0.42	1.31	0.42	36.09	11.01	37351998596	37351998596	27.99%	40.68%	-0.25	2015-01-27	2019-05-29 15:00:00	38413	
1	603609	禾丰牧业	12.13	0.34	2.88	194949	231916653	5.94	12.28	11.58	11.60	11.79	-0.16	1.35	2.35	19.84	2.34	11187552429	10082170603	10.78%	56.92%	-0.08	2014-08-08	2019-05-29 15:00:00	194949	
1	600233	圆通速递	12.96	0.36	2.86	44266	57201469	5.16	13.20	12.55	12.68	12.60	0.00	1.71	0.57	25.11	3.27	36656768937	10152447651	0.23%	30.12%	-0.08	2000-06-08	2019-05-29 15:00:00	44266	
1	603603	博天环境	14.24	0.39	2.82	25931	36828686	4.91	14.41	13.73	13.83	13.85	-0.07	2.03	1.10	64.50	3.40	5718356708	3343979360	-32.09%	-8.66%	0.00	2017-02-17	2019-05-29 15:00:00	25931	
1	603600	永艺股份	9.51	0.26	2.81	11731	11089863	3.89	9.58	9.22	9.22	9.25	0.00	0.79	0.39	18.68	2.50	2878559145	2863223699	-0.21%	35.66%	0.11	2015-01-23	2019-05-29 15:00:00	11731	
1	601990	南京证券	11.73	0.32	2.80	302441	354755568	7.62	12.17	11.30	11.40	11.41	-0.09	1.76	11.00	38.20	2.98	32245997512	3225984474	-11.47%	35.14%	0.00	2018-06-13	2019-05-29 15:00:00	302441	
